LocalOferta;DescLocalOferta;HoraIniDisciplina;HoraFimDisciplina;DiaDisciplina;NomeDisciplina;TurmaDisciplina;TurnoDisciplina;VagasOfertadas;VagasOcupadas;SexoDisciplina;HorarioFixo;DisciplinaParaCalouro;DisciplinaExclusiva;VagasOfertadasCalouros;VagasOcupadaCalouros
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Segunda;ANATOMIA DOS ANIMAIS DOMESTICOS 2                                     ;A ;Diurno;46;46;Ambos;0;0;1;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;14:00;15:50;Quarta;ANATOMIA DOS ANIMAIS DOMESTICOS 2                                     ;A ;Diurno;46;46;Ambos;0;0;1;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Quarta;ANATOMIA DOS ANIMAIS DOMESTICOS 2                                     ;A ;Diurno;46;46;Ambos;0;0;1;NULL;0
ICC AT 104     ;SALA ICC AT- 104                                  ;08:00;09:50;Terça;FERTILIDADE DO SOLO                                                   ;A ;Diurno;25;19;Ambos;1;0;0;0;0
ICC AT 104     ;SALA ICC AT- 104                                  ;08:00;11:40;Quarta;FERTILIDADE DO SOLO                                                   ;A ;Diurno;25;19;Ambos;1;0;0;0;0
ICC AT- 098    ;SALA DE AULA ICC -AT 098                          ;14:00;15:50;Quinta;FERTILIDADE DO SOLO                                                   ;B ;Diurno;25;25;Ambos;0;0;0;0;0
ICC AT-091/8   ;Sala de Aula ICC AT- 091/8                        ;14:00;17:40;Sexta;FERTILIDADE DO SOLO                                                   ;B ;Diurno;25;25;Ambos;0;0;0;0;0
ICC AT- 098    ;SALA DE AULA ICC -AT 098                          ;14:00;15:50;Segunda;FERTILIDADE DO SOLO                                                   ;C ;Diurno;25;13;Ambos;0;0;0;0;0
ICC AT - 079/8 ;SALA ICC AT - 079/8;08:00;11:40;Quinta;FERTILIDADE DO SOLO                                                   ;C ;Diurno;25;13;Ambos;0;0;0;0;0
NULL;NULL;14:00;17:40;Quarta;Políticas Públicas de Saúde Animal                                    ;A ;Diurno;40;3;Ambos;0;0;0;0;0
ICC AT 118/7   ;SALA ICC AT 118/7                                 ;08:00;11:40;Quarta;EXTENSAO RURAL                                                        ;A ;Ambos;30;22;Ambos;0;0;0;0;0
ICC AT 164     ;SALA ICC AT164                                    ;08:00;11:40;Quinta;EXTENSAO RURAL                                                        ;B ;Diurno;30;11;Ambos;0;0;0;0;0
NULL;NULL;14:00;17:40;Segunda;EXTENSAO RURAL                                                        ;C ;Diurno;30;30;Ambos;0;0;0;NULL;0
NULL;NULL;14:00;17:40;Terça;EXTENSAO RURAL                                                        ;D ;Diurno;30;24;Ambos;0;0;0;NULL;0
ICC AT- 092    ;SALA ICC AT - 092                                 ;08:00;09:50;Segunda;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;A ;Diurno;26;26;Ambos;1;0;0;NULL;0
ICC AT 104     ;SALA ICC AT- 104                                  ;08:00;11:40;Sexta;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;A ;Diurno;26;26;Ambos;1;0;0;NULL;0
ICC AT 082     ;SALA DE AULA ICC AT 082                           ;16:00;17:50;Segunda;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;B ;Diurno;25;25;Ambos;0;0;0;NULL;0
ICC AT- 092    ;SALA ICC AT - 092                                 ;08:00;11:40;Quinta;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;B ;Diurno;25;25;Ambos;0;0;0;NULL;0
NULL;NULL;14:00;15:50;Segunda;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;C ;Diurno;25;21;Ambos;0;0;0;NULL;0
NULL;NULL;14:00;17:40;Terça;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;C ;Diurno;25;21;Ambos;0;0;0;NULL;0
ICC AT- 092    ;SALA ICC AT - 092                                 ;10:00;11:50;Segunda;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;D ;Diurno;25;19;Ambos;0;0;0;0;0
ICC AT- 092    ;SALA ICC AT - 092                                 ;08:00;11:40;Quarta;TECNOLOGIA DOS PRODUTOS AGROPECUARIOS                                 ;D ;Diurno;25;19;Ambos;0;0;0;0;0
NULL;NULL;16:00;17:50;Terça;TECNOLOGIA DE SEMENTES                                                ;A ;Diurno;45;19;Ambos;0;0;0;NULL;0
NULL;NULL;08:00;11:40;Quinta;TECNOLOGIA DE SEMENTES                                                ;A ;Diurno;45;19;Ambos;0;0;0;NULL;0
ICC AT-091/8   ;Sala de Aula ICC AT- 091/8                        ;14:00;17:40;Segunda;MELHORAMENTO DE PLANTAS                                               ;A ;Diurno;25;25;Ambos;0;0;0;0;0
ICC AT 121/7   ;SALA  AT 121/7                                    ;08:00;11:40;Quarta;MELHORAMENTO DE PLANTAS                                               ;B ;Diurno;25;18;Ambos;0;0;0;0;0
FAL B 1        ;FAL B 1                                           ;14:00;17:40;Quarta;PLANTAS FORRAGEIRAS E PASTAGENS                                       ;A ;Diurno;30;0;Ambos;0;0;0;0;0
ICC AT 114/7   ;SALA DE AULA  ICC AT 114/7                        ;08:00;11:40;Sexta;Anatomia e Fisiologia dos Animais de Produção                         ;A ;Diurno;40;40;Ambos;0;0;0;0;0
ICC AT- 144/8  ;Sala ICC AT- 144/8                                ;08:00;11:40;Terça;Anatomia e Fisiologia dos Animais de Produção                         ;B ;Diurno;40;2;Ambos;0;0;0;0;0
NULL;NULL;16:00;17:50;Terça;PRODUCAO E CONTROLE DE PRODUTOS BIOLOGICOS                            ;A ;Diurno;40;2;Ambos;0;0;0;NULL;0
ICC AT 118/7   ;SALA ICC AT 118/7                                 ;08:00;09:50;Terça;OLERICULTURA 1                                                        ;A ;Diurno;30;30;Ambos;0;0;0;0;0
ICC AT 118/7   ;SALA ICC AT 118/7                                 ;10:00;11:50;Terça;OLERICULTURA 1                                                        ;A ;Diurno;30;30;Ambos;0;0;0;0;0
NULL;NULL;14:00;17:40;Segunda;OLERICULTURA 1                                                        ;B ;Diurno;30;7;Ambos;0;0;0;NULL;0
BSA S B2 47/13 ;SALA BSA SUL B2 47/13                             ;14:00;17:40;Terça;SAUDE E CLINICA DAS AVES                                              ;A ;Diurno;40;23;Ambos;0;0;0;0;0
HVETAO         ;Hospital Veterinario de Grandes Animais           ;14:00;15:50;Quinta;CLINICA CIRURGICA DE GRANDES ANIMAIS                                  ;A ;Diurno;31;16;Ambos;0;0;0;0;0
HVETAO         ;Hospital Veterinario de Grandes Animais           ;16:00;17:50;Quinta;CLINICA CIRURGICA DE GRANDES ANIMAIS                                  ;A ;Diurno;31;16;Ambos;0;0;0;0;0
NULL;NULL;08:00;11:40;Sexta;MECANICA DOS MOTORES E MAQUINAS AGRICOLAS 1                           ;B ;Diurno;40;12;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;10:00;11:50;Terça;PATOLOGIA VETERINÁRIA                                                 ;A ;Diurno;22;22;Ambos;1;0;0;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;10:00;11:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;A ;Diurno;22;22;Ambos;1;0;0;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;14:00;15:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;A ;Diurno;22;22;Ambos;1;0;0;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;A ;Diurno;22;22;Ambos;1;0;0;NULL;0
HVET           ;HOSPITAL VETERINÁRIO                              ;10:00;11:50;Terça;PATOLOGIA VETERINÁRIA                                                 ;B ;Diurno;21;18;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;10:00;11:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;B ;Diurno;21;18;Ambos;0;0;0;0;0
ICC AT 077/8   ;Sla de Aula ICC AT - 077/8                        ;14:00;15:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;B ;Diurno;21;18;Ambos;0;0;0;0;0
ICC AT 077/8   ;Sla de Aula ICC AT - 077/8                        ;16:00;17:50;Quarta;PATOLOGIA VETERINÁRIA                                                 ;B ;Diurno;21;18;Ambos;0;0;0;0;0
BSA S BT 41/13 ;SALA BSA SUL BT 41/13                             ;08:00;11:40;Sexta;EPIDEMIOLOGIA VETERINARIA                                             ;A ;Diurno;51;16;Ambos;0;0;1;0;0
ICC AT 121/7   ;SALA  AT 121/7                                    ;08:00;09:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;A ;Diurno;20;20;Ambos;0;0;0;0;0
ICC AT 121/7   ;SALA  AT 121/7                                    ;10:00;11:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;A ;Diurno;20;20;Ambos;0;0;0;0;0
ICC AT 121/7   ;SALA  AT 121/7                                    ;14:00;15:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;A ;Diurno;20;20;Ambos;0;0;0;0;0
